,name company,count blogs in mart,badges,rating,subscribers
298,Синимекс,0,Нет,12.66,17
299,Friflex,1,Нет,11.91,53
300,Smartup Technology,0,Нет,11.61,12
301,TABLUM.IO,0,Нет,10.99,39
302,Amvera,0,Нет,10.67,35
303,Eppie,0,Нет,10.49,33
304,«Федя и Самат»,0,Нет,9.89,27
305,Российские аналоги,0,Нет,9.27,22
306,Smart Timetable,0,Нет,8.99,20
307,Compot 2022,0,Нет,8.99,20
308,SelfPrivacy.org,0,Нет,8.83,19
309,Прогнозирование полигонов ТКО,1,Нет,7.92,14
310,HumanWay,0,Нет,7.69,13
311,Obitel Studio | Обитель созидательных воздействий,0,Нет,6.59,29
312,Pastila,0,Нет,5.58,21
313,Sapiens solutions,0,Нет,4.16,16
314,Риал АИ Технологии,0,Нет,3.78,11
315,EDM Project,0,Нет,2.89,18
316,Отдел контент-продуктов IT-бренда,0,Нет,2.71,13
317,Anatoysis City,0,Нет,2.64,14
318,Vikingo,0,Нет,2.48,12
319,Smotion,0,Нет,2.3,10
320,Кооператив «Рад Коп»,0,Нет,2.08,8
321,Окама,0,Нет,1.95,7
322,MoscowCSS митап,0,Нет,1.39,4
